fips,full,year,NO2
20,Kansas,2003,0.02775998522167487685
20,Kansas,2004,0.02433055023183925811
20,Kansas,2005,0.02617121571648690293
20,Kansas,2006,0.02762679060665362035
20,Kansas,2007,0.02323153698630136986
20,Kansas,2008,0.02208551585014409222
20,Kansas,2009,0.02349633918128654971
20,Kansas,2010,0.02159838596491228070
20,Kansas,2011,0.02198442857142857143
20,Kansas,2012,0.02882391923641703377
20,Kansas,2013,0.02520611688311688312
20,Kansas,2014,0.02518003977272727273
20,Kansas,2015,0.02535690582959641256
20,Kansas,2016,0.02285485714285714286
21,Kentucky,2000,0.02889588840102451518
21,Kentucky,2001,0.03022829898892633606
21,Kentucky,2002,0.03202080895008605852
21,Kentucky,2003,0.03297152834008097166
21,Kentucky,2013,0.01532406097560975610
21,Kentucky,2014,0.02048156880733944954
21,Kentucky,2015,0.02366171243523316062
22,Louisiana,2000,0.02375595081967213115
22,Louisiana,2001,0.02297772222222222222
22,Louisiana,2002,0.02103772423802612482
22,Louisiana,2003,0.02096897777777777778
22,Louisiana,2004,0.02223199178082191781
22,Louisiana,2005,0.02539037872340425532
22,Louisiana,2006,0.02296039386189258312
22,Louisiana,2007,0.02239293239436619718
22,Louisiana,2008,0.02169476223776223776
22,Louisiana,2009,0.02242495290858725762
22,Louisiana,2010,0.02529160339943342776
22,Louisiana,2011,0.02523394214876033058
22,Louisiana,2012,0.02497911549295774648
22,Louisiana,2013,0.02365381111111111111
22,Louisiana,2014,0.02333415709969788520
22,Louisiana,2015,0.02355080827586206897
22,Louisiana,2016,0.02684649122807017544
23,Maine,2006,0.02627869655172413793
23,Maine,2007,0.02645249589041095890
23,Maine,2008,0.02385837275985663082
23,Maine,2009,0.02304031348907309721
23,Maine,2010,0.02620176215604975499
23,Maine,2011,0.02452890048712595685
23,Maine,2012,0.02458970473537604457
23,Maine,2013,0.02712493299492385787
23,Maine,2014,0.02498412621359223301
23,Maine,2015,0.02442151479289940828
23,Maine,2016,0.02819673426573426573
24,Maryland,2006,0.03315900613496932515
24,Maryland,2007,0.02468521417797888386
24,Maryland,2008,0.02361540305010893246
24,Maryland,2009,0.02459554545454545455
24,Maryland,2010,0.02836991872278664731
24,Maryland,2011,0.02629611501597444089
24,Maryland,2012,0.02561392151162790698
24,Maryland,2013,0.02544950913075237400
24,Maryland,2014,0.02803503422244589834
24,Maryland,2015,0.02804939686552072801
24,Maryland,2016,0.02740857835820895522
25,Massachusetts,2001,0.01919423076923076923
25,Massachusetts,2002,0.02227236994818652850
25,Massachusetts,2003,0.01921231506849315068
25,Massachusetts,2004,0.02085825079365079365
25,Massachusetts,2005,0.02008034097421203438
25,Massachusetts,2006,0.01763024166666666667
25,Massachusetts,2007,0.01851733149171270718
25,Massachusetts,2008,0.02051336164383561644
25,Massachusetts,2009,0.02112741551246537396
25,Massachusetts,2010,0.02220179529737206086
25,Massachusetts,2011,0.02085077197802197802
25,Massachusetts,2012,0.02071585774058577406
25,Massachusetts,2013,0.02158936492220650636
25,Massachusetts,2014,0.02138396583850931677
25,Massachusetts,2015,0.02248586377708978328
25,Massachusetts,2016,0.02356338461538461538
26,Michigan,2000,0.02335018207282913165
26,Michigan,2001,0.02806752380952380952
26,Michigan,2002,0.02853956657223796034
26,Michigan,2003,0.02721393333333333333
26,Michigan,2004,0.02590978717201166181
26,Michigan,2005,0.02973109815950920245
26,Michigan,2006,0.02717342045454545455
26,Michigan,2007,0.02100000000000000000
27,Minnesota,2011,0.02755115853658536585
27,Minnesota,2012,0.03508300000000000000
27,Minnesota,2014,0.02524735606060606061
27,Minnesota,2015,0.02611510145985401460
29,Missouri,2000,0.02776080355761794277
29,Missouri,2001,0.02946847392290249433
29,Missouri,2002,0.02873158920187793427
29,Missouri,2003,0.02880860372960372960
29,Missouri,2004,0.02558527441860465116
29,Missouri,2005,0.03260904428904428904
29,Missouri,2006,0.02870296713615023474
29,Missouri,2007,0.03156377725118483412
29,Missouri,2008,0.02842994883720930233
29,Missouri,2013,0.02413325072886297376
29,Missouri,2014,0.02508600278551532033
29,Missouri,2015,0.02068346043165467626
29,Missouri,2016,0.02304571428571428571
32,Nevada,2001,0.03083821739130434783
32,Nevada,2002,0.04121669252873563218
32,Nevada,2003,0.04138600602409638554
32,Nevada,2010,0.01822940000000000000
32,Nevada,2011,0.02688637260273972603
32,Nevada,2012,0.03157218888888888889
32,Nevada,2013,0.02811684637681159420
32,Nevada,2014,0.03149045953757225434
32,Nevada,2015,0.03149623211446740859
32,Nevada,2016,0.02264116666666666667
33,New Hampshire,2002,0.03056816847826086957
33,New Hampshire,2003,0.02895131034482758621
33,New Hampshire,2004,0.02689842391304347826
33,New Hampshire,2005,0.02630129353233830846
33,New Hampshire,2006,0.02856949142857142857
33,New Hampshire,2007,0.02860416304347826087
33,New Hampshire,2008,0.02777860439560439560
33,New Hampshire,2009,0.02229763177570093458
33,New Hampshire,2010,0.02961196641791044776
33,New Hampshire,2014,0.02563451724137931034
33,New Hampshire,2015,0.02995135474860335196
33,New Hampshire,2016,0.03165096610169491525
34,New Jersey,2000,0.02028053277545327755
34,New Jersey,2001,0.02238785373781148429
34,New Jersey,2002,0.02318081132075471698
34,New Jersey,2003,0.02116072519083969466
34,New Jersey,2004,0.02193390674318507891
34,New Jersey,2005,0.02392357837837837838
34,New Jersey,2006,0.02446434261838440111
34,New Jersey,2007,0.02416448910751932537
34,New Jersey,2008,0.02625966044776119403
34,New Jersey,2011,0.02228598275862068966
34,New Jersey,2012,0.02557855298013245033
34,New Jersey,2013,0.02427612205270457698
34,New Jersey,2014,0.02369269498607242340
34,New Jersey,2015,0.02457038775510204082
35,New Mexico,2011,0.03271685289957567185
35,New Mexico,2012,0.03196546796657381616
35,New Mexico,2013,0.03306059414225941423
35,New Mexico,2014,0.03088337134909596662
35,New Mexico,2015,0.02984992045454545455
36,New York,2000,0.02125152869287991498
36,New York,2001,0.02093624254561637739
36,New York,2002,0.02201736240963855422
36,New York,2003,0.02115781877839475013
36,New York,2004,0.02111687792848335388
36,New York,2005,0.02263021852033317001
36,New York,2006,0.02370131903059197457
36,New York,2007,0.02301991764705882353
36,New York,2008,0.02434833750000000000
36,New York,2009,0.02520273496932515337
36,New York,2010,0.02812091401273885350
36,New York,2011,0.02591058809428685577
36,New York,2012,0.02457397674418604651
36,New York,2013,0.02462809153952843273
36,New York,2014,0.02405309523809523810
36,New York,2015,0.02375672651933701657
36,New York,2016,0.02397151882845188285
37,North Carolina,2000,0.03465238950276243094
37,North Carolina,2001,0.03374668025078369906
37,North Carolina,2002,0.03713528193832599119
37,North Carolina,2003,0.03076583238958097395
37,North Carolina,2004,0.03078501196172248804
37,North Carolina,2005,0.03203882790697674419
37,North Carolina,2006,0.03240122222222222222
37,North Carolina,2007,0.02945445316804407713
37,North Carolina,2008,0.02804935537190082645
37,North Carolina,2009,0.02592146571428571429
37,North Carolina,2010,0.02840465730337078652
37,North Carolina,2011,0.02928011251758087201
37,North Carolina,2012,0.02801424025974025974
37,North Carolina,2013,0.02543567329545454545
37,North Carolina,2014,0.02679835425730267247
37,North Carolina,2015,0.02681933309709425939
37,North Carolina,2016,0.02933503829787234043
38,North Dakota,2008,0.02483245772594752187
38,North Dakota,2009,0.02520029916897506925
38,North Dakota,2010,0.02645503287671232877
38,North Dakota,2011,0.02558809883720930233
38,North Dakota,2012,0.02503193681318681319
38,North Dakota,2013,0.02930984400000000000
38,North Dakota,2014,0.02710873008130081301
38,North Dakota,2015,0.02469089665653495441
38,North Dakota,2016,0.02586769230769230769
39,Ohio,2009,0.02809769161676646707
39,Ohio,2010,0.03808820765027322404
39,Ohio,2011,0.02495075215845606907
39,Ohio,2012,0.02336948950131233596
39,Ohio,2013,0.02342930703422053232
39,Ohio,2014,0.02370538706697459584
39,Ohio,2015,0.02392558585340850846
39,Ohio,2016,0.02550818055555555556
