fips,full,year,CO
20,Kansas,2000,9.7038524430894309
20,Kansas,2001,10.5949091581769437
20,Kansas,2002,8.7760631597005614
20,Kansas,2003,9.6230703399014778
20,Kansas,2004,9.5400768423493045
20,Kansas,2005,10.9495904853620955
20,Kansas,2006,11.1781054951076321
20,Kansas,2007,13.3936032794520548
20,Kansas,2008,16.8078922103746398
20,Kansas,2009,12.2716397953216374
20,Kansas,2010,13.0666753128654971
20,Kansas,2011,13.1007702600000000
20,Kansas,2012,12.0659567400881057
20,Kansas,2013,11.8597126655844156
20,Kansas,2014,11.0309245965909091
20,Kansas,2015,11.0361504723467862
20,Kansas,2016,11.5852193657142857
21,Kentucky,2000,12.6722546889864618
21,Kentucky,2001,12.5575994520943669
21,Kentucky,2002,11.0746940292598967
21,Kentucky,2003,10.8436403846153846
21,Kentucky,2013,14.1082012439024390
21,Kentucky,2014,11.4380021498470948
21,Kentucky,2015,7.8848361580310881
22,Louisiana,2000,17.3460742431693989
22,Louisiana,2001,17.3592387722222222
22,Louisiana,2002,18.0075229129172714
22,Louisiana,2003,15.5625022527777778
22,Louisiana,2004,15.8162260164383562
22,Louisiana,2005,14.3996295340425532
22,Louisiana,2006,14.9917522071611253
22,Louisiana,2007,15.1991169183098592
22,Louisiana,2008,13.1011889510489510
22,Louisiana,2009,12.8751434736842105
22,Louisiana,2010,12.6985428300283286
22,Louisiana,2011,11.6657067107438017
22,Louisiana,2012,11.4005429436619718
22,Louisiana,2013,9.6447050944444444
22,Louisiana,2014,10.4808692114803625
22,Louisiana,2015,9.3859104372413793
22,Louisiana,2016,12.9114016315789474
23,Maine,2006,2.3369101724137931
23,Maine,2007,2.8001102273972603
23,Maine,2008,5.8592933064516129
23,Maine,2009,6.6767518967596081
23,Maine,2010,6.1617104545797211
23,Maine,2011,5.5927935184411969
23,Maine,2012,6.0638613753481894
23,Maine,2013,3.9137720487309645
23,Maine,2014,3.5835317119741100
23,Maine,2015,5.0273536501479290
23,Maine,2016,6.5569090699300699
24,Maryland,2006,11.5302036012269939
24,Maryland,2007,12.6861908710407240
24,Maryland,2008,12.6136359945533769
24,Maryland,2009,11.5374415297805643
24,Maryland,2010,13.0669599288824383
24,Maryland,2011,12.9488961501597444
24,Maryland,2012,10.1830346090116279
24,Maryland,2013,9.7427842016070124
24,Maryland,2014,6.9487926069451434
24,Maryland,2015,7.4259153346814965
24,Maryland,2016,9.2006857388059701
25,Massachusetts,2001,24.0484337615384615
25,Massachusetts,2002,22.5473301678756477
25,Massachusetts,2003,22.4963099095890411
25,Massachusetts,2004,16.8207040063492063
25,Massachusetts,2005,18.6490796131805158
25,Massachusetts,2006,18.6769004361111111
25,Massachusetts,2007,19.6971824198895028
25,Massachusetts,2008,19.6786903589041096
25,Massachusetts,2009,18.0483847091412742
25,Massachusetts,2010,17.0527500124481328
25,Massachusetts,2011,18.5299443351648352
25,Massachusetts,2012,15.8050845355648536
25,Massachusetts,2013,17.4774906633663366
25,Massachusetts,2014,15.5712308012422360
25,Massachusetts,2015,14.3987382507739938
25,Massachusetts,2016,15.8292733956043956
26,Michigan,2000,22.6400608879551821
26,Michigan,2001,22.7798747482993197
26,Michigan,2002,18.1710844362606232
26,Michigan,2003,17.5607641420289855
26,Michigan,2004,14.5684122128279883
26,Michigan,2005,15.6708145858895706
26,Michigan,2006,12.5251782755681818
26,Michigan,2007,8.1250000000000000
27,Minnesota,2011,7.5211113484320557
27,Minnesota,2012,6.4093701774193548
27,Minnesota,2014,6.2316595404040404
27,Minnesota,2015,6.6454562372262774
29,Missouri,2000,16.8727499110595514
29,Missouri,2001,17.2438579659863946
29,Missouri,2002,17.3851271995305164
29,Missouri,2003,16.5294592074592075
29,Missouri,2004,13.8707736325581395
29,Missouri,2005,12.6151517878787879
29,Missouri,2006,13.1498543239436620
29,Missouri,2007,12.8261067061611374
29,Missouri,2008,12.1087173395348837
29,Missouri,2013,12.0384747551020408
29,Missouri,2014,11.8348399025069638
29,Missouri,2015,13.1099786978417266
29,Missouri,2016,12.4858465306122449
32,Nevada,2001,5.8762631304347826
32,Nevada,2002,2.9950511350574713
32,Nevada,2003,2.3455944277108434
32,Nevada,2010,22.3421667000000000
32,Nevada,2011,16.6658802356164384
32,Nevada,2012,14.1473475222222222
32,Nevada,2013,16.2355307710144928
32,Nevada,2014,13.5417354450867052
32,Nevada,2015,13.3054970620031797
32,Nevada,2016,17.4208151538461538
33,New Hampshire,2002,9.9893360597826087
33,New Hampshire,2003,9.3683323735632184
33,New Hampshire,2004,9.7684532391304348
33,New Hampshire,2005,9.1465471343283582
33,New Hampshire,2006,7.3332768114285714
33,New Hampshire,2007,7.6217711358695652
33,New Hampshire,2008,7.2199690879120879
33,New Hampshire,2009,8.2251578504672897
33,New Hampshire,2010,7.6685706679104478
33,New Hampshire,2014,4.4423170229885057
33,New Hampshire,2015,3.3202604301675978
33,New Hampshire,2016,4.2942459491525424
34,New Jersey,2000,20.5221819093444909
34,New Jersey,2001,23.1205701722643554
34,New Jersey,2002,24.0746839535558781
34,New Jersey,2003,23.6989873664122137
34,New Jersey,2004,19.2408719526542324
34,New Jersey,2005,19.8568270177606178
34,New Jersey,2006,17.4759288885793872
34,New Jersey,2007,18.0069375713281799
34,New Jersey,2008,15.7152904589552239
34,New Jersey,2011,21.0352921522988506
34,New Jersey,2012,15.6091143261589404
34,New Jersey,2013,15.2367530000000000
34,New Jersey,2014,16.0812691796657382
34,New Jersey,2015,15.0230801959183673
35,New Mexico,2011,13.4067951329561528
35,New Mexico,2012,13.7420876323119777
35,New Mexico,2013,11.7707440027894003
35,New Mexico,2014,11.6141803351877608
35,New Mexico,2015,11.1827525198863636
36,New York,2000,23.1671911774707758
36,New York,2001,25.0319202185135737
36,New York,2002,23.9642148877108434
36,New York,2003,22.8824326622917718
36,New York,2004,20.8902643615289766
36,New York,2005,21.3359470244977952
36,New York,2006,19.2391119332538737
36,New York,2007,18.5412239124183007
36,New York,2008,16.7042225500000000
36,New York,2009,12.9768437631901840
36,New York,2010,12.9805063335987261
36,New York,2011,13.0880268042349181
36,New York,2012,18.0947655636114911
36,New York,2013,17.9196587378640777
36,New York,2014,16.9205922563025210
36,New York,2015,17.1659935386740331
36,New York,2016,17.8474728242677824
37,North Carolina,2000,15.1733545883977901
37,North Carolina,2001,13.8536143009404389
37,North Carolina,2002,12.2655209801762115
37,North Carolina,2003,11.9561162140430351
37,North Carolina,2004,10.6300654904306220
37,North Carolina,2005,12.4336324511627907
37,North Carolina,2006,12.2851884305555556
37,North Carolina,2007,13.9164453650137741
37,North Carolina,2008,11.2082033719008264
37,North Carolina,2009,9.8519584028571429
37,North Carolina,2010,11.6892513567415730
37,North Carolina,2011,9.9951739226441632
37,North Carolina,2012,8.6715113977272727
37,North Carolina,2013,8.4822321846590909
37,North Carolina,2014,7.7445221286513362
37,North Carolina,2015,6.9454038454996456
37,North Carolina,2016,7.4712138382978723
38,North Dakota,2008,5.3477361690962099
38,North Dakota,2009,4.9216141163434903
38,North Dakota,2010,5.4183016054794521
38,North Dakota,2011,4.4774270174418605
38,North Dakota,2012,4.5819832472527473
38,North Dakota,2013,4.7623289920000000
38,North Dakota,2014,4.4818427691056911
38,North Dakota,2015,4.2990242674772036
38,North Dakota,2016,4.6710099230769231
39,Ohio,2009,4.5091511407185629
39,Ohio,2010,5.0790824371584699
39,Ohio,2011,14.7197105485017776
39,Ohio,2012,13.8292804868766404
39,Ohio,2013,12.6382405988593156
39,Ohio,2014,12.0160273681293303
39,Ohio,2015,12.4786346970784213
39,Ohio,2016,9.7607953305555556
40,Oklahoma,2000,4.7706563791821561
40,Oklahoma,2001,8.2719339513944223
40,Oklahoma,2002,6.6102637263843648
40,Oklahoma,2003,6.2964270390070922
40,Oklahoma,2004,5.3966091409342835
40,Oklahoma,2005,8.1347802658536585
40,Oklahoma,2006,7.8733028659003831
40,Oklahoma,2007,7.7872408485947416
40,Oklahoma,2008,6.2308076063218391
40,Oklahoma,2009,6.4547454285714286
40,Oklahoma,2010,6.4416276537717602
40,Oklahoma,2011,6.7435439817559863
40,Oklahoma,2012,6.4826616103286385
40,Oklahoma,2013,6.7443204058171745
40,Oklahoma,2014,6.0227435988023952
40,Oklahoma,2015,7.8059794089887640
40,Oklahoma,2016,8.1253849041095890
41,Oregon,2007,11.4253204632034632
41,Oregon,2008,10.9524970884146341
41,Oregon,2009,10.3595434841498559
41,Oregon,2010,9.0544669780821918
41,Oregon,2011,9.1322140900621118
41,Oregon,2012,9.0637917469135802
41,Oregon,2013,9.7301306726726727
41,Oregon,2014,8.5536543088455772
41,Oregon,2015,9.1875675287671233
42,Pennsylvania,2000,16.1305577863671572
42,Pennsylvania,2001,15.9656305380242741
42,Pennsylvania,2002,14.5851666418402518
42,Pennsylvania,2003,14.0609898493920973
42,Pennsylvania,2004,13.6269978593844297
42,Pennsylvania,2005,13.4491647297336845
42,Pennsylvania,2006,12.4602418739184178
42,Pennsylvania,2007,12.1422196131720430
42,Pennsylvania,2008,11.1018614990217817
42,Pennsylvania,2009,10.6518208836626774
42,Pennsylvania,2010,10.9429159955500618
42,Pennsylvania,2011,11.2383758405665517
