NAPS_ID,City,P_T,Location,Latitude,Longitude,Elevation,Classification,ID,Minimum,10th_Percentile,30th_Percentile,50th_Percentile,70th_Percentile,80th_Percentile,90th_Percentile,95th_Percentile,98th_Percentile,99th_Percentile,99.9th_Percentile,Maximum,Percent_Completeness,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Standard_Deviation,Year
50308,Quebec,QC,600 Rue Des Sables,46.821177,-71.220495,8,"PE,LU,P6,R",DMean,0.13,0.15,0.17,0.2,0.23,0.26,0.31,0.36,0.42,0.53,0.74,0.74,97.260273973,0.31,0.27,0.26,0.21,0.18,0.17,0.2,0.18,0.2,0.2,0.22,0.22,0.22,0.076729158,2015
54401,Saint-Anicet,QC,1128 De La Guerre,45.120624,-74.2896,50,"RB,NU,P2,A",DMean,0.13,0.16,0.18,0.21,0.26,0.28,0.31,0.33,0.35,0.36,0.39,0.39,84.657534247,0.18,0.19,0.18,0.19,0.22,0.25,0.29,0.28,0.27,,,,,,2015
54501,L'assomption,QC,801 St-Etienne/Route 344,45.80942,-73.43473,10,"PE,SU,P3,A",DMean,0.13,0.16,0.19,0.21,0.24,0.26,0.29,0.32,0.37,0.39,0.53,0.53,99.452054795,0.25,0.25,0.22,0.19,0.21,0.22,0.27,0.24,0.23,0.18,0.2,0.22,0.22,0.056244343,2015
55201,Lemieux,QC,1290 Rte Des Atocas,46.3037,-72.060685,92,"RB,NU,P1,F",DMean,0.13,0.16,0.18,0.2,0.24,0.26,0.3,0.34,0.35,0.37,0.39,0.39,99.178082192,0.19,0.19,0.19,0.19,0.23,0.22,0.3,0.29,0.26,0.18,0.18,0.19,0.22,0.054767863,2015
60104,Ottawa,ON,Rideau & Wurtemburg,45.43433,-75.676,72,"PE,LU,P6,R",DMean,0.12,0.14,0.17,0.19,0.22,0.24,0.27,0.31,0.35,0.39,0.52,0.52,100,0.26,0.26,0.23,0.19,0.18,0.16,0.19,0.17,0.19,0.17,0.21,0.23,0.2,0.056007555,2015
60204,Windsor,ON,467 University Ave. West,42.315778,-83.043667,184,"T,LU,P4,R",DMean,0.13,0.18,0.21,0.25,0.29,0.32,0.36,0.41,0.46,0.5,0.71,0.71,92.328767123,0.34,,0.29,0.26,0.22,0.22,0.26,0.24,0.23,0.22,0.29,0.31,0.26,0.07790667,2015
60430,Toronto,ON,125 Resources Road,43.709444,-79.5435,149,"PE,LU,P6,C",DMean,0.13,0.18,0.21,0.23,0.27,0.29,0.33,0.36,0.42,0.47,0.5,0.5,98.630136986,0.26,0.29,0.27,0.24,0.24,0.23,0.24,0.22,0.26,0.21,0.28,0.24,0.25,0.062802655,2015
60512,Hamilton,ON,Elgin & Kelly,43.25778,-79.86167,94,"PS,LU,P5,R",DMean,0.13,0.17,0.2,0.24,0.28,0.31,0.36,0.39,0.43,0.48,0.56,0.56,91.780821918,0.25,0.27,0.26,0.25,0.27,0.28,0.25,0.23,0.25,0.22,0.26,0.24,0.25,0.072734574,2015
70118,Winnipeg,MB,299 Scotia St.,49.93207,-97.11317,227,"PE,LU,P5,R",DMean,0.05,0.13,0.16,0.18,0.2,0.21,0.25,0.29,0.36,0.38,0.57,0.57,89.04109589,0.19,0.2,0.2,0.19,0.18,0.2,0.24,0.19,0.15,0.13,,0.17,0.19,0.060110376,2015
70119,Winnipeg,MB,65 Ellen Street,49.89799,-97.14653,229,"PE,LU,P6,R",DMean,0.06,0.13,0.16,0.19,0.22,0.23,0.25,0.28,0.35,0.47,0.61,0.61,87.397260274,0.21,0.24,0.22,0.2,0.18,0.18,0.22,0.16,0.16,0.14,0.18,0.23,0.2,0.065263998,2015
