NAPS_ID,City,P_T,Location,Latitude,Longitude,Elevation,Classification,ID,Minimum,10th_Percentile,30th_Percentile,50th_Percentile,70th_Percentile,80th_Percentile,90th_Percentile,95th_Percentile,98th_Percentile,99th_Percentile,99.9th_Percentile,Maximum,Percent_Completeness,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Standard_Deviation,Year
50504,Saguenay,QC,"789 Boul Des Etudiants, Chicoutimi",48.416374,-71.052412,82,"PE,LU,P3,R",DMean,7,15,20,24,29,33,37,39,40,42,43,43,96.721311475,27,30,36,35,31,25,18,19,17,19,22,24,24.96,8.121262129,2020
50604,Rouyn-Noranda,QC,1570 Rue Paradis,48.234087,-78.982778,289,"PS,SU,P3,R",DMean,10,16,22,26,31,35,38,39,40,47,53,53,97.540983607,29,33,34,35,33,27,20,19,20,22,24,26,26.91,7.975688346,2020
50803,Trois-Rivières,QC,Rue Whitehead,46.357175,-72.546187,12,"PE,LU,P4,R",DMean,4,15,21,26,32,35,38,41,43,43,47,47,99.726775956,25,29,36,36,35,30,25,20,18,18,20,22,26.19,8.84954464,2020
50902,Saguenay,QC,"2885 Berthier (Arvida), Jonquiere",48.43389,-71.18454,93,"PS,LU,P3,R",DMean,6,14,19,24,29,33,35,38,40,41,44,44,100,26,29,34,34,31,24,17,18,17,19,22,24,24.53,8.111860506,2020
51501,St. Zephirin-De-Courval,QC,701 Rang Saint-Michel,46.042233,-72.659761,50,"RB,NU,P1,A",DMean,6,17,22,28,34,36,39,42,44,46,49,49,96.994535519,30,35,38,36,35,32,24,20,20,21,23,23,27.94,8.738224822,2020
52001,Charette,QC,Au Nord Du 170 2e Rang,46.4416,-72.89241,114,"RB,NU,P2,A",DMean,5,13,18,24,32,34,38,40,42,42,45,45,96.448087432,28,32,38,36,34,26,20,16,15,17,19,23,24.89,9.31851324,2020
52201,Saint-Simon,QC,"Derriere Le 83, 4e Rang Est",45.715614,-72.840249,38,"RB,NU,P2,A",DMean,7,16,21,27,32,35,39,40,42,44,49,49,98.087431694,29,35,38,34,33,28,24,19,19,20,22,22,26.85,8.592848765,2020
52301,Saint-Faustin--Lac-Carré,QC,4507 Chemin Du Lac (Caribou),46.035,-74.48083,413,"RB,NU,P1,F",DMean,10,19,23,30,36,38,41,44,46,49,51,51,98.633879781,32,37,39,40,37,30,23,20,21,24,27,27,29.78,8.8662088,2020
52401,La Pêche,QC,Lac Philippe - Masham,45.622378,-76.018046,191,"RB,NU,P2,P",DMean,7,14,20,24,28,30,33,35,37,39,40,40,41.530054645,29,,,,,,,,18,22,26,24,,,2020
52801,Auclair,QC,66 Rang St-Gregoire Nord,47.73333,-68.70722,301,"RB,NU,P1,F",DMean,10,17,23,29,35,38,41,44,46,48,50,50,99.726775956,33,37,39,39,35,28,18,20,21,23,26,28,28.97,8.847309349,2020
53201,La Dore,QC,Route 167- La Dore,48.80972,-72.73889,222,"RB,NU,P1,F",DMean,8,15,20,26,32,35,39,40,43,45,48,48,97.267759563,30,34,37,37,33,25,16,17,19,19,24,26,26.21,9.146080942,2020
